Year,Long,Lat,Reference,Link,Photo
Jara et al. 2019,-67.65821989,-54.95310904,"Jara RF, Crego RD,  Arellano FJ, Altamirano TA, Ibarra JT, Rozzi R, Jimenez JE. 2019. Breeding strategies of open-cup-nesting birds in Sub-Antarctic forest of Navarino Island. Revista Chilena de Historia Natural 92:2 https://doi.org/10.1186/s40693-019-0082-4",https://drive.google.com/file/d/1i21hEAJqp-SPGhRTjGtwV7u1PL2sKBlY/view,https://res.cloudinary.com/decpournu/image/upload/v1701088462/15_bnrqy0.png
Jara et al. 2019,-67.65821989,-54.95310904,"Jara RF, Crego RD,  Samuel MD, Rozzi R, Jimenez JE. 2020. Nest-site selection and breeding success of passerines in the world’s southernmost forest. PeerJ https://peerj.com/articles/9892/",https://drive.google.com/file/d/1b4IekMHy597njBgCwELICq_5zeUmU8FG/view,https://res.cloudinary.com/decpournu/image/upload/v1701088452/17_sa7tci.png
Crego et al. 2020,-67.65821989,-54.95310904,"Crego RD, Jiménez JE, and Rozzi R. 2020. Contrary to expectation, the invasive mink did not affect nesting survival of forest native birds. Ornitología Neotropical 31: 88-97.",https://drive.google.com/file/d/1PG8hkWdaw_s1MDA-x3q6SXydnaD-7x62/view,https://res.cloudinary.com/decpournu/image/upload/v1701088444/18_iyhcgc.png
Crego et al. 2020,36.89697568,0.291653036,"Crego RD, Ogutu JO,Wells HBM, Ojwang GO, Martins DJ, Leimgruber P, Stabach JA. 2020. Spatiotemporal dynamics of wild herbivore species richness and occupancy across a savannah rangeland: Implications for conservation. Biological Conservation 242:108436. https://doi.org/10.1016/j.biocon.2020.108436",https://drive.google.com/file/d/1JNMYB8qkE64rUN-f8ilDPHtAH9UJH0ya/view,https://res.cloudinary.com/decpournu/image/upload/v1701088451/16_dfojhf.png
Rozzi et al. 2020,-68.71014642,-56.50927262,"Rozzi R, Crego RD, Contador T, Schüttler E, Rosenfeld S, Mackenzie R, Barroso O, Silva-Rodríguez EA, Álvarez-Bustos X, Silva A, Ramírez I, Mella J, Herreros J, Rendoll Cárcamo J, Marambio J, Ojeda J, Méndez F, Moses KP, Kennedy J, Rusell S, Goffinet B, Sancho LG, Berchez F, Buma B, Aguirre F, Sánchez-Jardón L, Barros E, Vásquez RA, T K Arroyo M, Poulin E, Squeo F, Armesto JJ, Mansilla A and Massardo F. 2021. Un centinela para el monitoreo del cambio climático y su impacto sobre la biodiversidad en la cumbre austral de América: la nueva red de estudios a largo Plazo Cabo de Hornos. 2020. Anales del Instituto de la Patagonia, 48(3), 45-81. http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/939",https://drive.google.com/file/d/17hxm3IWUYMv1VyDOKYwjIJYXmFPIrRBp/view,https://res.cloudinary.com/decpournu/image/upload/v1701088449/19_v0qa47.png
Barroso et al. 2020,-68.71014642,-56.50927262,"Barroso O, Crego RD, Mella J, Rosenfeld S, Contador T, Mackenzie R, Vásquez RA and Rozzi R. 2021. Colaboración científica con la Armada de Chile en estudios ornitológicos a largo plazo en el archipiélago Diego Ramírez: primer monitoreo del ciclo anual del ensamble de aves en la isla Gonzalo. 2020. Anales del Instituto de la Patagonia, 48(3), 149-168. http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/944",https://drive.google.com/file/d/1PEsanEZF5FBV0xBAS8Cex8YhaQLAFhNI/view,https://res.cloudinary.com/decpournu/image/upload/v1701088453/20_iwhoca.png
Crego et al. 2021,36.89697568,0.291653036,"Crego RD, Wells HBM, Ndung’u  KS, Evans L, Njeri Nduguta R, Chege MA, Brown MB, Ogutu JO, Ojwang GO, Fennessy J, O'Connor D, Stacy-Dawes J, Rubenstein DI,  Martins DJ, Leimgruber P and Stabach JA. 2021. Moving through the mosaic: Identifying critical linkage zones for herbivores in African multiple-use landscapes. Landscape Ecology 36(5), 1325-1340 https://doi.org/10.1007/s10980-021-01232-8 ",https://drive.google.com/file/d/1NPVKowO1RDsYglZMJlIPb0TPhh-ajLbk/view,https://res.cloudinary.com/decpournu/image/upload/v1701088448/21_r2af66.png
Wells et al. 2021,36.89697568,0.291653036,"Wells H, Crego RD, Opedal Ø, Khasoha L, Alston J, Reed C, Weiner S, Kurukura S, Hassan A, Namoni M, Ekadeli J, Kimuyu D, Young T, Kartzinel T, Palmer T, Pringle R, Goheen J. 2021. Experimental evidence that effects of megaherbivores on mesoherbivore space use are influenced by species' traits.  Journal of Animal Ecology 90:2510–2522 DOI: 10.1111/1365-2656.13565. Journal cover.",https://drive.google.com/file/d/19yL-VSs_QNhHkzsFpoSch_7fQdQlLm-S/view,https://res.cloudinary.com/decpournu/image/upload/v1701088449/22_cldcqo.png
Crego et al. 2021,-78.16380537,38.88771737,"Crego RD, Masolele MM., Connette G., Stabach JA. 2021. Enhancing animal movement analyses: Spatiotemporal matching of animal positions with remotely sensed data using Google Earth Engine and R. Remote Sensing. 13(20), 4154; https://doi.org/10.3390/rs13204154",https://drive.google.com/file/d/1aVqioPaKPa0UeXaHQAsphovQbvq_FbVY/view,https://res.cloudinary.com/decpournu/image/upload/v1701088454/23_u46cqv.png
Bhandari et al. 2022,84.94480183,27.29696632,"Bhandari S, Crego RD, Stabach JA. 2022. Spatial segregation between wild ungulates and livestock outside protected areas in the lowlands of Nepal. PlosOne. 17(1): e0263122. https://doi.org/10.1371/journal.pone.0263122",https://drive.google.com/file/d/1aNDavqmqR6am9ZDMBFyaKVdpt2p-jDlx/view,https://res.cloudinary.com/decpournu/image/upload/v1701088439/24_hgbvxa.png
